make_model_ordinal,price,type_ordinal,warranty_ordinal,mileage,gearbox_ordinal,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,num_of_extras,safety_security_package_labeled,entertainment_media_package_labeled,Compact,Convertible,Coupe,Off-Road/Pick-up,Sedan,Station wagon
14.0,37900.0,0.0,0.0,126000.0,0.0,1.0,1.0,1950.0,6.0,210.0,1.0,2447.0,0.0,1.0,2.0,1.0,6.0,120.0,6.2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,27490.0,0.0,0.0,91754.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1455.0,0.0,0.0,2.0,0.0,3.0,85.0,3.9,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,24780.0,0.0,1.0,46403.0,1.0,0.0,1.0,1595.0,7.0,130.0,1.0,1370.0,1.0,0.0,3.0,0.0,4.0,90.0,5.5,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,9770.0,0.0,1.0,49658.0,0.0,0.0,1.0,1699.0,5.0,156.0,1.0,1260.0,0.0,0.0,2.0,0.0,10.0,85.0,6.6,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,23850.0,0.0,0.0,71098.0,1.0,1.0,1.0,1461.0,7.0,99.5,1.0,1425.0,0.0,0.0,3.0,0.0,4.0,80.0,3.7,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.0,6990.0,0.0,1.0,135000.0,0.0,0.0,1.0,1498.0,5.0,171.0,1.0,1225.0,0.0,0.0,4.0,1.0,14.0,70.0,6.2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,7000.0,0.0,1.0,96000.0,0.0,0.0,1.0,2034.0,5.0,123.0,1.0,1340.0,0.0,1.0,2.0,1.0,17.0,100.0,7.2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.0,6990.0,0.0,1.0,135000.0,0.0,0.0,1.0,1498.0,5.0,171.0,1.0,1225.0,0.0,1.0,4.0,1.0,14.0,70.0,6.2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,33999.0,0.0,0.0,12265.0,1.0,0.0,1.0,1991.0,7.0,22.0,2.0,1505.0,0.0,0.0,1.0,1.0,2.0,160.0,6.7,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,25950.0,0.0,1.0,13863.0,0.0,0.0,1.0,1332.0,5.0,129.0,1.0,1270.0,0.0,1.0,1.0,1.0,2.0,80.0,5.6,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,31950.0,0.0,1.0,23644.0,1.0,0.0,1.0,1332.0,7.0,121.0,1.0,1295.0,0.0,1.0,1.0,0.0,0.0,100.0,5.3,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,25000.0,0.0,0.0,78300.0,1.0,0.0,1.0,1332.0,7.0,126.0,1.0,1365.0,0.0,1.0,2.0,0.0,3.0,100.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,14700.0,0.0,0.0,93914.0,0.0,1.0,1.0,1461.0,6.0,92.0,1.0,1295.0,0.0,1.0,2.0,0.0,7.0,80.0,3.8,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,32800.0,0.0,0.0,17900.0,1.0,0.0,1.0,1991.0,7.0,169.0,2.0,1455.0,0.0,1.0,1.0,0.0,1.0,225.0,7.3,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15.0,184900.0,0.0,1.0,6100.0,1.0,0.0,1.0,3982.0,7.0,284.0,0.0,1700.0,1.0,1.0,1.0,0.0,1.0,410.0,12.4,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15.0,91999.0,0.0,1.0,94066.0,1.0,0.0,1.0,2999.0,7.0,209.0,2.0,1940.0,1.0,1.0,2.0,0.0,3.0,270.0,9.1,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15.0,154950.0,0.0,1.0,69901.0,1.0,0.0,1.0,3982.0,7.0,257.0,2.0,1920.0,1.0,1.0,2.0,0.0,3.0,320.0,11.3,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,8950.0,0.0,0.0,199000.0,1.0,1.0,1.0,1991.0,1.0,99.5,1.0,1345.0,0.0,1.0,2.0,0.0,10.0,80.0,5.2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15.0,129850.0,0.0,1.0,50264.0,1.0,0.0,1.0,2999.0,7.0,215.0,2.0,1945.0,1.0,1.0,1.0,0.0,2.0,320.0,9.1,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16.0,168444.0,1.0,1.0,10.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,2485.0,1.0,1.0,1.0,1.0,0.0,215.0,2.359,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16.0,122500.0,1.0,0.0,5712.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2380.0,1.0,1.0,1.0,1.0,0.0,215.0,2.359,2.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,74990.0,0.0,0.0,60000.0,1.0,0.0,1.0,1991.0,8.0,162.0,2.0,1555.0,0.0,1.0,1.0,0.0,2.0,310.0,8.4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,72500.0,0.0,0.0,34766.0,1.0,0.0,1.0,1991.0,7.0,192.0,2.0,1535.0,1.0,1.0,6.0,0.0,2.0,310.0,8.9,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,66990.0,0.0,0.0,48000.0,1.0,0.0,1.0,1991.0,8.0,162.0,2.0,1555.0,0.0,1.0,6.0,0.0,2.0,310.0,8.4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15.0,144900.0,0.0,0.0,5147.0,1.0,0.0,1.0,2999.0,7.0,0.0,2.0,1940.0,1.0,1.0,1.0,0.0,1.0,320.0,9.3,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,56980.0,0.0,1.0,58592.0,1.0,0.0,1.0,1991.0,7.0,169.0,2.0,1455.0,0.0,1.0,2.0,0.0,3.0,225.0,8.3,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,46999.0,0.0,1.0,5934.0,1.0,0.0,1.0,1337.0,7.0,123.0,1.0,1275.0,1.0,1.0,1.0,0.0,1.0,100.0,6.1,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15.0,129400.0,0.0,0.0,20133.0,1.0,0.0,1.0,2999.0,7.0,228.0,2.0,1940.0,1.0,1.0,6.0,0.0,2.0,270.0,9.8,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,32999.0,0.0,1.0,100229.0,1.0,0.0,1.0,1991.0,7.0,165.0,2.0,1455.0,1.0,1.0,2.0,0.0,7.0,280.0,7.1,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,39495.0,0.0,1.0,54510.0,1.0,0.0,1.0,1991.0,7.0,0.0,2.0,1455.0,1.0,1.0,1.0,0.0,5.0,280.0,6.9,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,38850.0,0.0,1.0,49627.0,1.0,0.0,1.0,1991.0,7.0,145.0,1.0,1355.0,0.0,0.0,3.0,1.0,4.0,202.0,6.2,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,10950.0,0.0,1.0,194367.0,0.0,1.0,1.0,1461.0,6.0,92.0,1.0,1285.0,1.0,1.0,2.0,0.0,8.0,80.0,3.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,16750.0,0.0,1.0,184748.0,1.0,1.0,1.0,1461.0,6.0,98.0,1.0,1325.0,0.0,1.0,1.0,0.0,5.0,80.0,3.7,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
